      0.00016579     31.84763651     31.84719474      0.00000010      78 0.00047288      14 0.00003198      33 0.00021128      31 0.00022962      64 0.01796425       8 0.00060471      56 0.01735955       0 0.00000000      56 0.08619061       2 0.00304542       1 0.00130286      53 0.08184234     579 0.07487158     501 0.04640693      47 0.02222936      31 0.00623529      54 31.55212648      43 21.73735487       1 1.09693472      10 8.71783689
      0.00016747     29.27765499     29.27721494      0.00000009      66 0.00042155       9 0.00001853      40 0.00025164      17 0.00015138      57 0.01579524       5 0.00041125      51 0.01469552       1 0.00068847      52 0.07669049       3 0.00440141       1 0.00100752      48 0.07128156     567 0.07302932     501 0.04635521      49 0.02343282      17 0.00324129      49 28.99864134      40 22.89874779       1 1.13238250       8 4.96751105
      0.00018502     39.55162555     39.55115741      0.00000009      66 0.00042716       7 0.00001541      39 0.00023178      20 0.00017997      59 0.01721872       7 0.00072610      52 0.01649262       0 0.00000000      52 0.07893460       5 0.00702124       0 0.00000000      47 0.07191337     578 0.07199889     512 0.04506918      46 0.02192982      20 0.00499989      47 39.26611992      38 29.60521741       1 1.17094478       8 8.48995773
      0.00016601     38.43805724     38.43761096      0.00000009      72 0.00043488      10 0.00002231      40 0.00024284      22 0.00016974      62 0.02017210       9 0.00075040      53 0.01942170       0 0.00000000      53 0.08124058       3 0.00431080       0 0.00000000      50 0.07692978     584 0.08182101     512 0.05190794      50 0.02373498      22 0.00617810      50 38.13915064      37 25.76645805       1 1.49748871      12 10.87520388
      0.00017441     37.18709576     37.18664157      0.00000010      74 0.00045002      13 0.00002994      47 0.00029366      14 0.00012642      61 0.01627628       7 0.00052545      54 0.01575083       0 0.00000000      54 0.07825168       3 0.00411450       0 0.00000000      51 0.07413718     579 0.07899859     505 0.04761155      60 0.02876859      14 0.00261846      51 36.89973057      38 24.41878073       1 1.16683209      12 11.31411776
      0.00016758     37.18429946     28.72893691      8.45491078      74 0.00048831      11 0.00002559      45 0.00029676      18 0.00016596      63 0.01914802       7 0.00065896      56 0.01848907       0 0.00000000      56 0.08708488       1 0.00158807       0 0.00000000      55 0.08549681     588 0.07397472     514 0.04333542      56 0.02723304      18 0.00340626      55 36.87496833      49 31.50911591       2 2.03323447       4 3.33261794
      0.00018760     41.25466345     41.25416562      0.00000009      74 0.00050301      11 0.00002236      33 0.00021162      30 0.00026903      63 0.01679019       9 0.00076637      54 0.01602382       0 0.00000000      54 0.08244685       3 0.00412561       1 0.00122888      50 0.07709237     553 0.06928630     479 0.04076042      44 0.02106033      30 0.00746555      51 40.98002532      40 28.34429136       1 2.19388205      10 10.44185191
      0.00018383     30.37629984     30.37582687      0.00000010      73 0.00039631      19 0.00004272      40 0.00025454      14 0.00009905      54 0.01038222       5 0.00044274      49 0.00993948       0 0.00000000      49 0.07506368       1 0.00139982       0 0.00000000      48 0.07366386     569 0.08281318     496 0.05116169      59 0.02827924      14 0.00337225      48 30.04551813      41 24.81331563       1 0.88759881       6 4.34460369
      0.00019323     42.43100165     29.27371528     13.15680643      99 0.00061620      18 0.00004614      63 0.00039065      18 0.00017941      81 0.02193602      11 0.00090828      70 0.02102774       0 0.00000000      70 0.10300209       3 0.00412969       0 0.00000000      67 0.09887240     585 0.09103283     486 0.05052909      81 0.03852166      18 0.00198207      67 42.08810934      56 33.05923375       2 2.07159568       9 6.95727990
      0.00016778     41.73117527     41.73072917      0.00000010      73 0.00043722      13 0.00003291      52 0.00034466       8 0.00005965      60 0.01845674       6 0.00065627      54 0.01780048       0 0.00000000      54 0.07913712       1 0.00156468       0 0.00000000      53 0.07757244     594 0.08815703     521 0.05445453      65 0.03141293       8 0.00228957      53 41.43013499      41 29.54900437       1 1.16842800      11 10.71270262
      0.00016662     29.84110641     29.84066298      0.00000010      77 0.00047731      14 0.00003533      39 0.00024593      24 0.00019605      63 0.01599733       7 0.00055931      56 0.01543802       0 0.00000000      56 0.08576655       4 0.00538180       2 0.00246813      50 0.07791663     559 0.07576712     482 0.04460249      53 0.02532341      24 0.00584122      52 29.55232351      44 23.81070131       1 1.15933480       7 4.58228741
      0.00016765     48.76303675     38.10017898     10.66240398      89 0.00057798      15 0.00003044      61 0.00040402      13 0.00014353      74 0.01902464       8 0.00076200      66 0.01826265       0 0.00000000      66 0.10174673       3 0.00419640       0 0.00000000      63 0.09755033     599 0.08745971     510 0.04884003      76 0.03692374      13 0.00169594      63 48.42273798      51 37.46417957       2 2.12904030      10 8.82951811
