      0.00163245     96.72156820     96.71884326      0.00000010     742 0.03314634     425 0.01643102     317 0.01671533       0 0.00000000     317 0.14516034     157 0.06082864     159 0.08059700       1 0.00373470     160 0.54166990      42 0.13826575       1 0.00261668     117 0.40078747     118 0.06483784      61 0.01644632      10 0.02012544      47 0.02826608      57 95.41656374      27 44.77603031       1 1.86263129      29 48.77790215
      0.00165704    120.29797589    120.29526753      0.00000010     669 0.02804002     346 0.01280669     323 0.01523333       0 0.00000000     323 0.14789407     157 0.06312425     166 0.08476982       0 0.00000000     166 0.56184829      44 0.14554164       1 0.00240833     121 0.41389831     122 0.09801882      52 0.01956010      25 0.05130710      45 0.02715162      70 119.08428978      36 60.57011930       1 1.86626720      33 56.64790329
      0.00168233    119.85739996    119.85469353      0.00000010     686 0.03380332     364 0.01749697     322 0.01630635       0 0.00000000     322 0.14306660     151 0.06250545     171 0.08056115       0 0.00000000     171 0.57427066      60 0.19882592       2 0.00515599     109 0.37028875     111 0.08856367      41 0.01550937      22 0.04505437      48 0.02799993      70 118.62361526      42 71.54970572       1 1.89684281      27 45.17706673
      0.00164574    106.15700605    106.15432381      0.00000011     659 0.03268788     335 0.01534415     324 0.01734373       0 0.00000000     324 0.14155998     162 0.06236476     162 0.07919521       0 0.00000000     162 0.54113176      44 0.14708576       2 0.00512794     116 0.38891806     118 0.07572774      54 0.01730058      16 0.03271158      48 0.02571557      64 104.96465359      30 48.56194145       1 1.61354044      33 54.78917170
      0.00167374    108.76053392    108.75782586      0.00000010     712 0.02795587     382 0.01242291     330 0.01553296       0 0.00000000     330 0.15007101     155 0.06239012     175 0.08768089       0 0.00000000     175 0.59430022      34 0.10916036       1 0.00241602     140 0.48272384     141 0.08480602      76 0.01753900      24 0.04877770      41 0.01848931      65 107.42375820      28 46.32102039       1 1.81305255      36 59.28968527
      0.00160703    113.42078554    113.41816341      0.00000010     672 0.03266551     353 0.01545957     319 0.01720594       0 0.00000000     319 0.13953038     150 0.06027548     169 0.07925490       0 0.00000000     169 0.53483772      58 0.18724919       1 0.00263316     110 0.34495537     111 0.07506755      44 0.01220720      15 0.03057752      52 0.03228284      67 112.25895432      33 54.92706531       1 1.81566269      33 55.51622632
      0.00168076    104.91408401    104.91130102      0.00000014     698 0.03723482     368 0.01820194     330 0.01903289       0 0.00000000     330 0.14624589     162 0.06753462     168 0.07871126       0 0.00000000     168 0.58386751      52 0.17104581       0 0.00000000     116 0.41282170     116 0.07135646      52 0.01393721      18 0.03623814      46 0.02118110      64 103.69438855      35 56.12898487       1 1.74068647      28 45.82471721
      0.00164226    127.68517643    127.68247756      0.00000010     705 0.03298407     351 0.01587821     354 0.01710587       0 0.00000000     354 0.16170043     172 0.06944766     182 0.09225278       0 0.00000000     182 0.62074090      50 0.15741248       0 0.00000000     132 0.46332841     132 0.09566910      56 0.01785661      23 0.04718149      53 0.03063099      76 126.37125221      44 72.40060685       1 1.56803778      31 52.40260758
      0.00156306    106.42367762    106.42106220      0.00000015     701 0.03583882     383 0.01829604     318 0.01754278       0 0.00000000     318 0.13983328     158 0.06205259     160 0.07778069       0 0.00000000     160 0.55080467      50 0.16190622       1 0.00251713     109 0.38638131     110 0.06850718      47 0.00838260      18 0.03566107      45 0.02446350      63 105.21134460      33 54.89855192       1 1.82399048      29 48.48880220
      0.00160330    102.52327230    102.52064108      0.00000010     697 0.03170536     363 0.01555061     334 0.01615475       0 0.00000000     334 0.15122109     178 0.07460272     156 0.07661837       0 0.00000000     156 0.55464744      42 0.13614946       2 0.00516849     112 0.41332949     114 0.08686721      53 0.01770954      19 0.03927128      42 0.02988640      61 101.26167406      31 51.60191459       1 1.86077931      29 47.79898017
